,label,text,category
6562,neutral,@SouthwestAir @TomVH just get the RR credit card and get the points of family that way,0
6041,neutral,@SouthwestAir Thanks! Will do,0
8136,neutral,@JetBlue Hey any chance you have an update on Flight 99 Hartford to D.C.?,0
7241,neutral,"@JetBlue no one yet but some, fl 8162",0
7259,neutral,"@JetBlue I understand delays.  We are all looking at a tv monitor at ur gate and it says current conditions are snow, hence delay.",0
4118,neutral,"@united Yesterday, I'm sorted now.",0
339,neutral,@VirginAmerica is my new go to airline,0
8716,neutral,"@JetBlue What about if I booked it through Orbitz? My email is correct, but there's a middle party.",0
1769,neutral,@united Do you have Bereavement discount on airfare as my grandfather just passed and need to attend his funeral this week.,0
6873,neutral,@JetBlue would a storage container like this green one be acceptable to check in with luggage? 18Gal totes http://t.co/mJtK2SFuhG,0
14502,neutral,@AmericanAir are flights from Columbus Ohio to Dallas Texas Cancelled Flighted?,0
3502,neutral,@united refund?,0
5694,neutral,@SouthwestAir @Vindictive_tK Larry David works for southwest?,0
2478,neutral,@united how much does a ski bag cost to check?  Bag contains 1 pair is skis and one pair of poles,0
6790,neutral,@JetBlue flight 462 to Boston delayed due to weather in Tampa?,0
2457,neutral,@united Yes. Luckily I was there.,0
6202,neutral,"@SouthwestAir Is the 1,750 bonus at 1800Flowers still on or did it expire 2/14/15?",0
6328,neutral,"@SouthwestAir took delivery of N8661A, a new Boeing 737-8H4 yesterday. http://t.co/5z9STyUQJ3 #DFW #DAL #airlines",0
549,neutral,@united i DMed you the details,0
10458,neutral,@USAirways @AmericanAir  ..off to vegas http://t.co/AygAOeB6Uu,0
4748,neutral,@SouthwestAir thanks for linking to #Passbook. Might be old news but this is my first 2015 flight.,0
8164,neutral,@JetBlue 108 to Portland Maine,0
9324,neutral,@USAirways is it your practice to give 1st class seats to us air employees before giving them to chairmans customers sitting in coach?,0
8265,neutral,@JetBlue Has D.C. Thinking About Summer With New Nantucket Service - Digital Journal http://t.co/urcyfcp2Lx,0
6074,neutral,@southwestair so I saw the promo for A-List when I was on a plane this Monday. I fly two more times in the qualification period. 1/2,0
5679,neutral,@SouthwestAir can you show me some luv?Its 9 degrees and all this snow but Imdetermined to go to #DestinationDragons http://t.co/oXm6cWGaB7,0
1554,neutral,@united left my iPad on MCO-&gt;IAD flight 174. How long to hear back once claim submitted? TY!,0
3979,neutral,"@united Great, thank you!! I'll send it now.",0
871,neutral,@united Do you have any flights with lie flat seating from STL to PDX around the date of March 5?,0
1862,neutral,"@united getting ready to book a flight to San Juan. Was wondering, Does United waive baggage fees for military personnel. Thanks.",0
9705,neutral,@USAirways Have you issued a Memphis travel advisory for tomorrow? Winter weather coming through now.,0
8729,neutral,@JetBlue don't know if u define that as a #ControllableIrregularity,0
5680,neutral,@SouthwestAir sent,0
